"","A1.spat","A2.spat","A3.spat","A4.spat","A5.spat","A6.spat","A7.spat","A8.spat","A9.spat","A10.spat","A11.spat"
"XM_022454940.1",0,10,0,0,0,17,0,131,68,88,0
"XM_022455005.1",35,84,55,34,46,41,0,0,62,60,19
"XM_022455007.1",0,114,36,17,32,18,25,79,0,15,24
"XM_022455045.1",15,64,39,41,35,42,74,120,53,42,40
"XM_022455058.1",68,116,186,125,112,184,90,97,109,72,40
"XM_022455128.1",0,0,0,0,35,0,81,147,41,99,42
"XM_022455151.1",238,323,369,216,335,237,309,538,680,626,361
"XM_022455182.1",0,0,0,20,0,27,26,0,20,20,0
"XM_022455193.1",28,38,13,0,0,0,56,63,40,51,28
"XM_022455250.1",913,1561,1862,1985,2183,1582,978,1492,1811,2275,1431
"XM_022455267.1",0,21,25,0,0,0,0,84,30,26,0
"XM_022455396.1",266,0,0,0,309,0,245,0,363,358,385
"XM_022455403.1",0,560,491,474,271,662,190,590,244,341,0
"XM_022455444.1",0,9,8,22,21,21,0,10,8,20,0
"XM_022455458.1",67,89,90,74,97,84,78,180,190,171,101
"XM_022455465.1",157,212,285,281,220,335,197,342,255,275,188
"XM_022455467.1",27,0,25,24,25,48,0,0,0,0,0
"XM_022455477.1",172,522,442,289,204,275,197,375,433,535,266
"XM_022455505.1",249,398,373,280,183,373,0,0,209,138,0
"XM_022455537.1",32,51,50,56,72,59,55,79,38,10,25
"XM_022455614.1",0,0,40,40,0,35,39,35,37,101,0
"XM_022455622.1",200,371,483,344,373,515,213,316,588,451,350
"XM_022455627.1",0,0,93,0,0,48,0,89,101,75,0
"XM_022455632.1",0,214,264,235,263,55,241,275,160,183,76
"XM_022455663.1",91,135,153,103,71,153,53,66,76,62,0
"XM_022455665.1",472,3604,833,458,1387,330,6259,5212,653,1521,966
"XM_022455667.1",883,4062,1029,805,2320,439,4533,4547,764,2113,1437
"XM_022455668.1",830,4066,948,972,2177,415,4883,4614,761,2216,1219
"XM_022455670.1",14,1377,76,52,92,24,623,589,0,102,50
"XM_022455673.1",18,111,87,43,54,60,59,175,53,82,51
"XM_022455675.1",48,31,80,124,70,87,57,137,95,96,74
"XM_022455676.1",51,57,85,98,88,0,56,0,100,89,63
"XM_022455688.1",110,105,124,67,85,136,97,65,106,56,17
"XM_022455706.1",88,180,242,153,97,182,0,0,111,60,27
"XM_022455726.1",251,326,727,207,256,276,337,616,173,233,195
"XM_022455733.1",0,0,39,20,26,38,0,44,44,38,17
"XM_022455750.1",64,90,178,124,135,76,38,10,43,112,86
"XM_022455760.1",0,0,20,16,18,19,0,18,39,27,0
"XM_022455825.1",0,31,29,0,14,13,0,29,35,25,12
"XM_022455848.1",0,65,92,0,71,0,60,69,82,67,32
"XM_022455910.1",62,80,79,91,96,72,95,131,120,126,79
"XM_022455940.1",15,27,64,63,87,69,55,90,83,76,63
"XM_022456025.1",0,106,88,137,204,122,171,263,173,218,136
"XM_022456027.1",114,253,256,235,259,200,150,286,310,338,202
"XM_022456033.1",109,170,210,269,312,267,295,391,237,230,213
"XM_022456046.1",0,0,65,0,172,134,184,139,0,178,0
"XM_022456059.1",32,53,63,79,126,43,99,216,112,103,88
"XM_022456070.1",0,40,39,17,44,44,54,61,60,47,0
"XM_022456073.1",20,158,61,55,55,69,40,115,91,110,49
"XM_022456074.1",46,168,74,60,61,91,0,83,55,102,32
"XM_022456075.1",0,102,0,22,0,22,18,0,0,60,18
"XM_022456076.1",56,223,119,73,117,63,80,122,92,86,68
"XM_022456079.1",186,359,288,268,443,299,602,1419,402,558,454
"XM_022456080.1",0,430,378,338,389,349,263,593,280,361,0
"XM_022456086.1",390,237,520,295,533,971,172,305,298,223,0
"XM_022456089.1",48,0,52,47,82,109,0,0,0,0,0
"XM_022456110.1",0,0,16,0,18,0,15,43,39,51,0
"XM_022456131.1",177,367,444,365,360,480,208,286,559,443,325
"XM_022456151.1",29,58,82,32,55,63,86,124,85,70,67
"XM_022456231.1",0,96,106,104,123,111,34,0,109,102,36
"XM_022456267.1",70,280,117,104,88,117,146,122,83,90,69
"XM_022456344.1",33,28,78,0,67,149,40,0,0,0,0
"XM_022456346.1",106,124,197,193,256,257,340,384,196,275,167
"XM_022456426.1",0,0,109,125,143,59,143,254,121,155,50
"XM_022456434.1",0,0,0,103,123,47,94,189,40,97,0
"XM_022456464.1",0,23,19,0,48,29,45,31,16,43,18
"XM_022456530.1",182,190,339,376,240,174,295,277,881,898,622
"XM_022456533.1",0,77,0,0,178,0,165,238,77,180,0
"XM_022456552.1",62,181,275,183,188,204,157,167,76,104,191
"XM_022456554.1",275,560,745,725,905,700,455,1253,607,803,742
"XM_022456558.1",204,321,252,258,296,270,491,588,359,409,354
"XM_022456568.1",37,112,67,128,155,103,205,485,155,141,123
"XM_022456624.1",36,43,62,61,55,56,16,0,45,0,15
"XM_022456625.1",620,830,1158,831,803,940,712,879,564,609,617
"XM_022456627.1",0,147,58,0,0,0,67,180,122,172,51
"XM_022456648.1",0,35,43,61,67,40,35,37,74,46,44
"XM_022456667.1",583,718,897,1027,821,694,1341,1304,1673,1334,885
"XM_022456701.1",76,116,85,170,189,290,92,139,80,83,65
"XM_022456711.1",13,41,24,32,59,33,0,105,37,0,31
"XM_022456724.1",273,2287,450,231,807,270,2105,4992,523,1414,662
"XM_022456726.1",0,490,36,28,43,0,166,114,0,41,0
"XM_022456727.1",867,4401,1094,781,2291,495,4160,4967,907,2028,1463
"XM_022456728.1",530,2848,625,581,1271,269,3099,3941,476,1125,852
"XM_022456750.1",3756,4879,6360,4667,5518,5883,3941,13439,6593,6643,5470
"XM_022456752.1",31,26,71,82,82,59,65,84,64,90,31
"XM_022456776.1",196,409,444,411,429,495,347,522,428,466,214
"XM_022456813.1",0,0,0,0,13,0,15,16,12,32,14
"XM_022456821.1",0,39,33,0,14,28,13,38,42,28,12
"XM_022456845.1",189,297,419,397,619,337,374,501,352,417,346
"XM_022456874.1",202,427,453,396,591,0,144,258,457,662,119
"XM_022457001.1",0,0,0,71,71,0,0,186,203,205,152
"XM_022457032.1",0,75,82,65,102,93,29,60,117,114,61
"XM_022457077.1",2275,4917,5451,4598,5797,6885,6881,15232,6542,7630,8911
"XM_022457110.1",0,49,0,72,78,27,66,141,33,87,0
"XM_022457121.1",69,18,9,6,31,29,89,593,74,6,39
"XM_022457128.1",0,72,38,35,98,40,50,149,36,78,0
"XM_022457158.1",0,75,41,0,0,0,40,0,53,48,0
"XM_022457184.1",9,51,47,46,58,35,11,73,67,60,43
"XM_022457193.1",0,247,166,198,94,200,283,457,227,272,143
"XM_022457195.1",141,294,267,167,301,221,259,608,272,319,258
"XM_022457202.1",74,94,124,84,88,114,214,368,260,240,177
"XM_022457207.1",0,53,50,115,129,62,0,0,62,116,0
"XM_022457211.1",9,29,53,36,14,44,13,0,21,0,0
"XM_022457213.1",516,1057,913,1169,1523,1033,2110,2756,1044,1551,1330
"XM_022457214.1",0,0,53,0,300,0,0,1329,267,333,0
"XM_022457218.1",0,58,0,34,58,30,68,109,64,78,25
"XM_022457226.1",72,113,157,139,149,139,135,319,162,162,177
"XM_022457248.1",0,171,165,78,192,153,82,350,88,181,74
"XM_022457253.1",20,30,38,41,77,45,81,165,65,74,78
"XM_022457260.1",14,0,47,28,58,51,37,37,62,68,60
"XM_022457269.1",821,2193,1692,1183,1410,1597,1221,1560,1701,1729,829
"XM_022457275.1",0,0,0,20,60,28,0,26,0,40,0
"XM_022457278.1",247,566,571,443,701,622,357,574,524,617,329
"XM_022457281.1",128,260,279,188,225,269,241,402,408,348,228
"XM_022457282.1",0,14,0,0,27,0,17,45,0,12,0
"XM_022457310.1",80,133,159,150,263,161,291,339,239,292,246
"XM_022457324.1",0,0,37,94,0,44,138,113,96,114,0
"XM_022457335.1",57,68,66,100,132,72,73,99,86,76,65
"XM_022457336.1",0,0,0,0,65,0,23,120,22,59,60
"XM_022457345.1",10,14,19,43,44,30,53,52,35,41,45
"XM_022457359.1",0,0,12,31,31,15,0,0,13,11,0
"XM_022457363.1",26,71,44,80,140,77,287,456,140,167,145
"XM_022457365.1",0,39,60,34,72,73,68,163,73,76,0
"XM_022457367.1",212,193,401,363,348,343,287,789,229,246,247
"XM_022457379.1",0,459,394,403,517,475,541,1045,526,581,348
"XM_022457381.1",27,113,0,68,64,0,100,147,0,111,115
"XM_022457382.1",35,0,118,51,66,163,91,200,160,86,0
"XM_022457384.1",0,19,0,40,66,22,19,61,0,0,0
"XM_022457390.1",0,85,33,35,36,49,0,67,0,0,0
"XM_022457391.1",0,0,0,0,0,0,21,55,28,28,25
"XM_022457392.1",26,68,95,88,110,87,87,0,126,130,112
"XM_022457418.1",198,412,485,452,601,532,475,793,565,612,431
"XM_022457419.1",3044,4758,5560,4676,5064,5946,2798,4175,5999,4908,3494
"XM_022457428.1",9,23,11,9,15,24,0,25,11,29,13
"XM_022457429.1",32,14,82,44,48,61,40,18,70,41,20
"XM_022457432.1",44,0,69,74,70,50,44,45,46,46,42
"XM_022457442.1",1373,2897,3588,2531,3263,3336,3083,4882,3541,3264,2548
"XM_022457443.1",88,181,210,169,190,205,157,196,257,247,161
"XM_022457444.1",22,75,60,77,82,74,69,63,72,60,22
"XM_022457445.1",0,67,76,59,87,31,70,67,26,56,58
"XM_022457451.1",147,127,192,226,229,338,150,219,130,146,119
"XM_022457454.1",0,0,25,0,55,0,64,153,53,35,24
"XM_022457462.1",31,32,57,19,52,49,49,88,39,44,17
"XM_022457463.1",44,68,105,108,28,179,0,0,0,0,0
"XM_022457466.1",31,54,75,80,149,76,71,86,64,76,46
"XM_022457477.1",0,0,26,22,23,0,0,0,45,21,0
"XM_022457479.1",0,68,101,94,138,107,101,106,88,93,57
"XM_022457492.1",253,195,270,159,235,168,118,40,94,121,89
"XM_022457493.1",45,110,95,0,23,101,67,115,218,126,84
"XM_022457494.1",0,18,0,0,18,14,0,0,64,58,24
"XM_022457515.1",85,167,160,159,227,149,247,407,163,250,153
"XM_022457516.1",0,52,35,70,97,60,87,187,102,119,73
"XM_022457519.1",71,105,130,171,230,155,130,255,102,126,79
"XM_022457521.1",56,79,114,115,205,140,61,126,61,58,73
"XM_022457528.1",0,24,47,55,34,0,72,128,19,60,40
"XM_022457535.1",55,67,132,123,151,139,103,171,112,106,82
"XM_022457546.1",2093,3254,3748,3165,2994,4209,2799,4604,5411,5715,4467
"XM_022457553.1",90,194,223,250,315,204,157,230,224,252,163
"XM_022457556.1",241,355,395,345,498,416,422,892,403,480,290
"XM_022457576.1",0,97,41,96,51,49,87,133,114,98,0
"XM_022457595.1",0,128,0,0,38,0,75,109,0,71,0
"XM_022457604.1",16,56,57,53,118,62,151,401,100,107,119
"XM_022457605.1",3004,4139,4835,3953,4422,4436,3902,4915,4815,4278,2758
"XM_022457617.1",0,0,25,0,28,0,0,84,30,28,0
"XM_022457647.1",99,189,191,211,372,191,372,1091,189,306,280
"XM_022457669.1",0,21,29,0,44,46,0,75,42,20,0
"XM_022457676.1",0,112,147,86,107,88,113,224,98,116,94
"XM_022457679.1",395,735,326,475,355,684,194,135,180,238,218
"XM_022457683.1",0,436,405,345,429,467,395,594,430,519,235
"XM_022457684.1",57,67,55,47,49,40,39,32,88,78,38
"XM_022457685.1",0,351,288,289,355,319,353,749,280,440,277
"XM_022457724.1",23,77,74,116,160,75,120,245,103,162,111
"XM_022457734.1",564,947,1286,1082,1405,1128,769,1065,1099,1205,830
"XM_022457735.1",0,0,0,14,29,0,30,58,37,28,0
"XM_022457744.1",0,101,87,181,199,257,196,256,225,286,88
"XM_022457746.1",0,26,39,37,136,0,129,251,71,113,60
"XM_022457747.1",1105,1645,1418,1551,1235,2135,446,141,604,611,544
"XM_022457752.1",0,120,0,0,74,0,57,170,0,152,0
"XM_022457753.1",0,37,0,0,29,0,0,77,27,62,0
"XM_022457754.1",2367,3937,5275,4419,4638,5263,2632,3921,5505,4240,3337
"XM_022457755.1",32,43,61,75,78,81,52,105,84,77,59
"XM_022457756.1",29,78,75,92,139,94,67,106,58,78,63
"XM_022457762.1",101,212,210,175,194,241,110,184,217,218,124
"XM_022457766.1",0,25,55,32,104,0,100,165,54,80,57
"XM_022457773.1",127,268,288,219,259,297,277,606,299,341,193
"XM_022457800.1",57,133,132,72,158,88,115,259,94,142,112
"XM_022457823.1",23,70,83,85,113,72,95,97,111,109,62
"XM_022457825.1",286,287,409,409,669,429,503,1209,649,648,475
"XM_022457826.1",185,446,341,307,358,303,155,603,319,484,239
"XM_022457832.1",0,0,69,52,130,46,41,0,0,128,42
"XM_022457843.1",26,56,79,35,73,43,110,384,104,100,77
"XM_022457853.1",0,0,34,39,50,35,55,124,54,43,47
"XM_022457884.1",0,0,0,52,0,0,51,115,28,56,0
"XM_022457905.1",79,88,154,217,283,179,285,365,270,281,228
"XM_022457909.1",0,0,17,39,18,14,36,34,57,37,0
"XM_022457910.1",26,79,83,74,107,96,87,78,58,84,56
"XM_022457914.1",47,152,165,187,258,177,133,228,200,245,136
"XM_022457915.1",67,148,178,148,211,212,152,267,226,233,56
"XM_022457936.1",0,0,0,0,34,29,32,86,0,31,0
"XM_022457943.1",0,23,0,18,37,16,0,18,36,0,16
"XM_022457948.1",0,0,0,51,72,23,68,119,67,87,54
"XM_022457954.1",30,65,69,91,113,74,71,79,126,109,82
"XM_022457968.1",0,89,75,62,114,91,75,92,153,124,70
"XM_022457973.1",26,93,85,110,129,73,93,221,80,93,78
"XM_022457980.1",17,41,40,47,17,52,36,64,61,54,19
"XM_022457986.1",0,133,0,102,132,145,108,222,53,140,0
"XM_022457999.1",0,0,0,0,52,51,0,203,53,116,0
"XM_022458005.1",0,123,147,47,106,73,72,161,107,77,51
"XM_022458009.1",71,138,129,93,136,89,115,209,184,150,112
"XM_022458011.1",0,0,0,98,62,78,40,51,0,100,0
"XM_022458018.1",0,0,28,10,13,0,33,43,17,26,14
"XM_022458024.1",135,160,270,269,367,210,174,316,212,219,213
"XM_022458026.1",3162,6097,7590,5620,5685,6757,4043,3842,7371,5566,4272
"XM_022458038.1",52,41,80,88,79,105,64,69,79,66,81
"XM_022458053.1",61,127,135,121,144,119,163,309,105,158,121
"XM_022458054.1",1231,2334,2502,2597,2892,2116,2739,3663,2478,3005,2337
"XM_022458055.1",68,114,115,98,138,147,89,171,104,106,58
"XM_022458060.1",0,0,48,45,66,49,16,56,41,46,24
"XM_022458068.1",0,88,98,87,93,40,92,249,124,115,0
"XM_022458117.1",0,61,62,56,66,68,57,76,55,60,43
"XM_022458131.1",140,282,293,241,352,303,390,537,315,449,225
"XM_022458133.1",0,71,85,75,130,68,106,143,111,148,93
"XM_022458135.1",46,95,57,55,84,57,72,167,43,77,60
"XM_022458139.1",36,78,70,72,132,67,107,236,96,106,90
"XM_022458143.1",0,0,140,139,212,64,185,422,166,200,0
"XM_022458156.1",0,79,0,0,167,76,218,350,91,207,0
"XM_022458163.1",473,754,989,900,1222,860,590,1046,877,911,669
"XM_022458197.1",64,137,153,179,292,176,220,283,205,172,153
"XM_022458204.1",851,1726,1657,1727,2198,1809,2401,4094,1730,2176,1626
"XM_022458234.1",0,30,93,91,134,91,138,212,133,143,93
"XM_022458248.1",0,453,0,0,923,951,961,1824,0,1005,0
"XM_022458254.1",123,233,243,216,233,243,312,506,217,379,187
"XM_022458261.1",0,71,93,111,65,99,115,242,230,213,115
"XM_022458280.1",0,235,233,135,311,248,332,554,120,318,0
"XM_022458288.1",0,46,0,0,0,50,0,54,54,53,0
"XM_022458321.1",0,0,56,0,64,56,0,155,128,138,0
"XM_022458327.1",22,10,39,36,30,33,10,0,0,0,0
"XM_022458334.1",17,80,83,66,73,52,25,78,96,98,59
"XM_022458344.1",111,181,224,265,309,197,330,300,258,364,224
"XM_022458349.1",0,49,53,63,83,60,73,64,88,95,67
"XM_022458354.1",76,58,84,68,51,22,0,45,42,0,0
"XM_022458362.1",0,504,408,351,435,414,358,542,399,451,122
"XM_022458376.1",19,61,82,63,106,64,209,277,80,90,115
"XM_022458377.1",19,61,81,64,106,63,207,277,80,88,114
"XM_022458378.1",32,60,81,63,107,64,209,278,80,89,118
"XM_022458400.1",23,68,52,64,64,46,71,159,103,123,81
"XM_022458427.1",119,242,212,271,404,247,181,324,180,282,132
"XM_022458440.1",254,382,431,447,583,455,538,865,454,514,358
"XM_022458446.1",0,32,76,0,0,0,61,87,30,71,27
"XM_022458480.1",184,404,325,308,402,433,239,325,336,400,188
"XM_022458482.1",0,124,62,107,50,115,173,0,141,139,0
"XM_022458489.1",0,255,278,264,304,266,257,384,260,344,206
"XM_022458516.1",52,45,95,86,87,109,65,106,103,88,38
"XM_022458534.1",0,0,0,0,189,106,90,189,0,201,0
"XM_022458552.1",0,53,62,34,54,51,49,43,57,61,41
"XM_022458558.1",0,36,29,27,79,32,0,81,0,31,0
"XM_022458580.1",61,161,309,107,149,89,31,131,41,65,62
"XM_022458581.1",33,77,76,60,99,61,64,128,97,78,57
"XM_022458599.1",677,778,963,756,660,516,356,497,588,488,261
"XM_022458618.1",127,289,241,280,380,290,296,540,247,352,200
"XM_022458628.1",605,1546,1385,1406,1978,1467,1926,3660,1482,2083,1011
"XM_022458630.1",128,204,280,238,277,288,237,314,298,353,163
"XM_022458631.1",0,294,265,317,382,310,466,652,334,458,346
"XM_022458653.1",42,52,83,59,67,81,34,70,66,57,35
"XM_022458667.1",103,156,237,217,288,201,247,562,247,307,199
"XM_022458676.1",0,222,160,174,202,212,169,214,258,288,0
"XM_022458688.1",20,33,89,72,58,59,72,153,136,83,80
"XM_022458693.1",0,314,293,274,255,334,0,249,242,289,0
"XM_022458694.1",0,31,22,36,32,10,40,95,39,39,35
"XM_022458698.1",0,0,0,0,83,67,66,117,64,93,61
"XM_022458705.1",26,72,91,98,118,71,144,241,115,142,97
"XM_022458707.1",0,268,238,267,411,231,468,961,250,415,276
"XM_022458708.1",11,30,49,35,39,34,38,62,56,47,33
"XM_022458709.1",207,154,289,319,306,142,169,215,231,229,160
"XM_022458714.1",130,188,165,126,162,145,0,0,59,0,0
"XM_022458716.1",1322,2356,2846,2393,2759,2431,1662,1156,2943,2972,2242
"XM_022458726.1",122,267,290,218,261,301,278,597,300,341,196
"XM_022458749.1",0,55,29,32,36,38,35,63,54,48,14
"XM_022458823.1",0,75,89,95,151,119,97,89,130,149,101
"XM_022458827.1",22,72,31,17,50,38,30,50,45,52,0
"XM_022458842.1",0,53,84,64,107,27,71,199,67,71,24
"XM_022458848.1",1565,3441,3218,2911,3680,3304,2799,3911,3396,3523,2557
"XM_022458850.1",0,16,0,14,29,17,40,87,22,37,18
"XM_022458854.1",15,40,42,0,36,25,0,0,0,15,0
"XM_022458855.1",0,17,0,0,0,0,0,28,46,33,25
"XM_022458863.1",0,44,46,50,91,0,0,159,113,124,44
"XM_022458865.1",0,0,20,20,50,21,56,158,37,48,17
"XM_022458870.1",725,1572,2215,1697,1850,1870,1335,1283,1973,1867,1344
"XM_022458897.1",0,55,78,69,58,64,48,0,30,50,0
"XM_022458911.1",69,159,131,110,144,172,171,315,153,221,102
"XM_022458912.1",45,140,160,129,182,138,181,249,133,204,128
"XM_022458913.1",17,116,59,0,40,56,43,28,111,73,41
"XM_022458920.1",1478,2900,3020,2567,2941,2802,2390,3894,3461,3346,2498
"XM_022458967.1",23,83,104,76,110,98,70,132,129,131,74
"XM_022458975.1",116,195,271,228,333,281,228,498,303,370,197
"XM_022458976.1",0,0,0,91,42,0,0,216,46,46,0
"XM_022458978.1",164,395,298,158,172,162,162,234,689,360,236
"XM_022458980.1",828,1457,1919,1874,2400,1753,1247,1709,1956,2181,1360
"XM_022458986.1",0,8,0,0,9,10,0,8,17,9,0
"XM_022459005.1",120,166,496,261,338,241,147,342,166,189,112
"XM_022459017.1",0,23,16,46,59,23,67,99,53,60,49
"XM_022459020.1",134,337,388,314,307,180,204,362,257,425,268
"XM_022459024.1",119,126,167,190,436,272,313,384,376,494,170
"XM_022459032.1",0,161,146,153,176,157,171,257,159,226,60
"XM_022459033.1",96,96,143,148,154,143,175,363,117,153,129
"XM_022459038.1",0,56,126,63,198,121,58,244,126,167,102
"XM_022459041.1",41,25,33,95,70,101,55,0,24,20,0
"XM_022459043.1",0,91,93,82,92,107,80,194,85,123,41
"XM_022459046.1",35,111,113,76,92,93,67,94,95,101,77
"XM_022459047.1",133,269,287,278,312,300,245,389,308,367,240
"XM_022459050.1",0,0,0,0,49,0,149,195,17,56,48
"XM_022459059.1",0,39,0,0,18,44,50,20,60,62,43
"XM_022459092.1",412,535,616,680,1019,661,1138,1916,973,1164,846
"XM_022459096.1",153,160,218,175,173,196,168,193,154,159,117
"XM_022459106.1",1910,3778,4002,3469,4174,4257,3194,5884,4734,4683,2981
"XM_022459107.1",27,65,83,105,85,0,64,131,39,89,38
"XM_022459109.1",0,14,25,13,15,0,18,37,18,12,14
"XM_022459157.1",0,29,38,62,63,46,66,97,82,78,49
"XM_022459161.1",12,56,75,83,153,77,114,107,113,122,99
"XM_022459168.1",0,166,133,165,151,135,192,0,136,249,124
"XM_022459183.1",81,163,133,167,235,146,384,554,227,342,204
"XM_022459229.1",0,90,0,0,227,240,227,377,191,218,0
"XM_022459238.1",1280,2419,3288,2457,3023,2535,2047,3154,1716,2432,1688
"XM_022459240.1",72,187,197,203,209,214,141,224,159,237,143
"XM_022459248.1",133,65,185,230,177,164,0,0,79,74,0
"XM_022459260.1",0,64,162,154,228,154,146,318,0,196,0
"XM_022459261.1",174,418,406,528,628,460,444,656,464,567,297
"XM_022459264.1",137,342,368,346,498,419,332,544,429,518,303
"XM_022459267.1",335,401,436,471,557,493,538,972,399,445,385
"XM_022459268.1",49,46,58,20,71,32,0,25,21,0,0
"XM_022459280.1",1183,1694,1956,1909,2391,2489,2748,3202,2548,2370,1614
"XM_022459281.1",51,185,246,225,270,258,173,209,270,258,172
"XM_022459286.1",0,0,0,0,16,15,0,61,29,0,15
"XM_022459290.1",70,55,84,61,77,74,84,92,165,165,116
"XM_022459295.1",169,134,254,320,283,196,273,466,283,449,287
"XM_022459318.1",26,50,40,0,0,40,27,75,0,38,30
"XM_022459319.1",0,24,25,52,0,31,0,0,91,33,0
"XM_022459358.1",0,0,39,106,41,101,115,110,247,247,39
"XM_022459361.1",0,0,20,46,57,0,0,47,53,25,0
"XM_022459365.1",24,47,62,37,50,43,15,42,27,36,14
"XM_022459386.1",0,0,22,68,51,42,18,0,15,0,0
"XM_022459388.1",0,48,0,45,116,49,187,337,54,125,49
"XM_022459392.1",28,78,81,77,104,111,156,134,73,107,106
"XM_022459393.1",117,153,228,244,313,247,172,384,182,196,151
"XM_022459407.1",0,0,0,0,0,23,21,59,21,46,0
"XM_022459409.1",0,38,33,39,54,24,47,83,41,42,15
"XM_022459412.1",25,125,98,91,126,71,52,108,93,117,65
"XM_022459417.1",0,60,82,92,51,0,42,0,38,31,0
"XM_022459436.1",2063,4088,5779,3621,5022,5432,1222,1026,2681,1609,1132
"XM_022459437.1",145,221,252,220,196,235,27,122,105,57,35
"XM_022459439.1",2129,4333,4509,4084,3804,3929,3220,5363,7257,6730,4764
"XM_022459455.1",0,275,241,250,296,323,305,511,322,371,179
"XM_022459458.1",169,490,329,290,385,283,272,357,332,461,260
"XM_022459466.1",0,153,167,150,194,188,150,262,214,273,127
"XM_022459467.1",0,71,36,21,47,65,69,65,74,78,57
"XM_022459493.1",0,0,92,0,90,109,0,350,0,222,0
"XM_022459524.1",382,569,626,453,652,563,465,768,637,730,425
"XM_022459548.1",0,35,39,57,52,18,74,158,46,71,43
"XM_022459549.1",0,0,66,75,64,130,131,181,0,138,0
"XM_022459551.1",0,0,31,0,60,23,21,16,43,41,18
"XM_022459552.1",0,0,64,98,85,64,29,28,69,35,0
"XM_022459608.1",33,35,67,65,50,32,44,41,51,60,39
"XM_022459618.1",0,57,35,54,65,61,71,102,67,92,51
"XM_022459619.1",0,0,0,0,64,0,68,40,0,26,28
"XM_022459620.1",0,0,0,41,0,78,123,172,138,164,110
"XM_022459626.1",0,55,137,167,201,55,133,170,165,176,55
"XM_022459630.1",23,75,73,113,156,74,115,240,103,159,110
"XM_022459631.1",0,79,115,125,176,113,161,238,180,186,112
"XM_022459633.1",0,0,12,0,18,0,0,12,17,13,0
"XM_022459637.1",165,337,383,335,577,421,624,1153,456,597,490
"XM_022459638.1",117,291,322,274,401,279,240,427,367,381,303
"XM_022459643.1",0,154,135,0,143,138,0,178,0,126,0
"XM_022459648.1",0,0,47,0,118,0,124,205,116,121,0
"XM_022459652.1",58,83,98,102,156,106,178,302,113,152,142
"XM_022459677.1",0,77,76,131,74,92,25,33,95,99,60
"XM_022459689.1",0,11,15,28,14,0,23,28,24,0,14
"XM_022459739.1",0,221,171,163,223,188,217,325,197,245,86
"XM_022459740.1",0,0,28,0,0,0,29,37,28,61,0
"XM_022459765.1",209,377,378,467,373,443,241,372,341,399,266
"XM_022459770.1",245,549,457,437,466,545,366,649,547,669,392
"XM_022459798.1",20,97,62,82,96,66,176,423,79,97,71
"XM_022459815.1",139,100,211,232,289,310,105,235,126,106,91
"XM_022459870.1",16,37,15,40,56,34,57,101,50,56,47
"XM_022459871.1",44,63,59,79,63,68,45,105,71,75,59
"XM_022459894.1",0,917,648,669,837,301,588,729,533,396,629
"XM_022459895.1",380,799,907,623,861,1158,497,488,896,1277,453
"XM_022459896.1",136,0,148,326,136,246,240,244,393,145,0
"XM_022459897.1",200,0,0,0,0,175,0,899,86,301,149
"XM_022459905.1",83,130,135,105,104,96,0,74,109,104,67
"XM_022459911.1",0,36,59,64,68,58,45,87,77,92,0
"XM_022459913.1",0,24,0,0,65,23,65,226,0,62,67
"XM_022459927.1",0,381,312,336,380,253,327,501,286,394,226
"XM_022459965.1",0,21,37,0,49,43,50,123,0,48,17
"XM_022459982.1",79,699,188,172,213,360,199,683,115,374,115
"XM_022459990.1",0,0,29,34,41,35,80,114,104,97,0
"XM_022459991.1",0,66,160,173,191,153,174,257,135,194,127
"XM_022459994.1",0,0,0,18,15,0,36,19,0,52,35
"XM_022460006.1",0,23,61,52,100,71,0,66,0,0,0
"XM_022460008.1",97,229,193,176,195,173,137,229,165,181,111
"XM_022460019.1",0,74,78,95,102,82,134,148,114,169,107
"XM_022460020.1",156,239,232,241,255,283,241,528,220,328,219
"XM_022460022.1",0,0,16,35,71,0,61,143,60,58,47
"XM_022460040.1",0,60,45,23,44,15,35,41,62,65,46
"XM_022460048.1",120,158,218,428,454,465,139,286,125,156,141
"XM_022460049.1",0,0,129,0,262,0,133,469,0,167,0
"XM_022460050.1",0,104,117,113,123,106,67,107,117,158,108
"XM_022460052.1",0,44,46,55,102,47,0,142,55,102,0
"XM_022460054.1",230,589,499,543,618,638,588,923,608,583,439
"XM_022460055.1",105,223,194,252,252,184,279,204,286,367,237
"XM_022460056.1",21,38,48,46,56,45,37,119,63,57,41
"XM_022460067.1",0,0,0,195,189,82,243,335,269,267,170
"XM_022460068.1",62,43,75,74,92,41,60,16,55,50,64
"XM_022460071.1",0,84,45,39,103,0,95,172,41,112,46
"XM_022460075.1",0,0,0,0,21,25,0,39,50,23,0
"XM_022460079.1",0,138,65,0,141,133,137,285,70,196,70
"XM_022460097.1",0,0,57,47,130,0,150,322,118,150,101
"XM_022460100.1",0,0,19,34,70,25,72,189,62,82,43
"XM_022460104.1",0,31,33,0,63,32,79,108,73,101,65
"XM_022460121.1",0,101,137,124,165,165,139,234,166,180,108
"XM_022460135.1",76,118,89,112,147,101,160,292,164,171,105
"XM_022460148.1",2287,4151,4276,3598,4926,4246,4435,9418,4394,5035,4166
"XM_022460165.1",0,76,0,73,76,91,0,202,163,0,0
"XM_022460192.1",0,78,151,154,176,141,183,321,159,189,66
"XM_022460201.1",3462,7875,7776,6646,7988,8094,5499,7394,8712,7344,5243
