real real bad,,,,,,,,,,,
real real bad,,,,,,,,,,,
,Sample.ID,stage,length_um,Temp,OA,Salinity,Replicate,pH,Aragonite_saturation,random_fact,Age
158,12,larvae,67.11049719,Low,Low,High,C,7.8,1.5,LLH_C,1
159,12,larvae,75.31535486,Low,Low,High,C,7.8,1.5,LLH_C,1
160,12,larvae,75.02448466,Low,Low,High,C,7.8,1.5,LLH_C,1
161,12,larvae,76.82273995,Low,Low,High,C,7.8,1.5,LLH_C,1
162,12,larvae,75.94153391,Low,Low,High,C,7.8,1.5,LLH_C,1
163,12,larvae,74.25386507,Low,Low,High,C,7.8,1.5,LLH_C,1
164,12,larvae,74.6357981,Low,Low,High,C,7.8,1.5,LLH_C,1
165,12,larvae,77.64717081,Low,Low,High,C,7.8,1.5,LLH_C,1
166,12,larvae,77.6740423,Low,Low,High,C,7.8,1.5,LLH_C,1
167,12,larvae,73.13866762,Low,Low,High,C,7.8,1.5,LLH_C,1
168,12,larvae,78.58066792,Low,Low,High,C,7.8,1.5,LLH_C,1
169,12,larvae,80.52048226,Low,Low,High,C,7.8,1.5,LLH_C,1
170,12,larvae,78.32097657,Low,Low,High,C,7.8,1.5,LLH_C,1
171,12,larvae,79.03127651,Low,Low,High,C,7.8,1.5,LLH_C,1
172,12,larvae,75.29612287,Low,Low,High,C,7.8,1.5,LLH_C,1
173,12,larvae,77.71802032,Low,Low,High,C,7.8,1.5,LLH_C,1
174,12,larvae,73.62558155,Low,Low,High,C,7.8,1.5,LLH_C,1
175,12,larvae,77.55400459,Low,Low,High,C,7.8,1.5,LLH_C,1
176,12,larvae,77.01021134,Low,Low,High,C,7.8,1.5,LLH_C,1
177,12,larvae,77.39743618,Low,Low,High,C,7.8,1.5,LLH_C,1
178,12,larvae,74.01948579,Low,Low,High,C,7.8,1.5,LLH_C,1
179,12,larvae,74.09480481,Low,Low,High,C,7.8,1.5,LLH_C,1
180,12,larvae,78.17384467,Low,Low,High,C,7.8,1.5,LLH_C,1
181,12,larvae,78.62876704,Low,Low,High,C,7.8,1.5,LLH_C,1
182,12,larvae,75.24423615,Low,Low,High,C,7.8,1.5,LLH_C,1
183,12,larvae,71.58882582,Low,Low,High,C,7.8,1.5,LLH_C,1
184,12,larvae,77.28243978,Low,Low,High,C,7.8,1.5,LLH_C,1
185,12,larvae,77.89311048,Low,Low,High,C,7.8,1.5,LLH_C,1
186,12,larvae,69.61873895,Low,Low,High,C,7.8,1.5,LLH_C,1
187,12,larvae,75.60095663,Low,Low,High,C,7.8,1.5,LLH_C,1
188,12,larvae,74.89947428,Low,Low,High,C,7.8,1.5,LLH_C,1
189,12,larvae,76.82277531,Low,Low,High,C,7.8,1.5,LLH_C,1
190,12,larvae,71.06747948,Low,Low,High,C,7.8,1.5,LLH_C,1
191,12,larvae,74.07194536,Low,Low,High,C,7.8,1.5,LLH_C,1
192,12,larvae,79.00045189,Low,Low,High,C,7.8,1.5,LLH_C,1
193,12,larvae,79.23274036,Low,Low,High,C,7.8,1.5,LLH_C,1
194,12,larvae,74.29701622,Low,Low,High,C,7.8,1.5,LLH_C,1
195,12,larvae,74.30856685,Low,Low,High,C,7.8,1.5,LLH_C,1
196,12,larvae,76.99101995,Low,Low,High,C,7.8,1.5,LLH_C,1
197,12,larvae,75.85101695,Low,Low,High,C,7.8,1.5,LLH_C,1
198,12,larvae,77.1054917,Low,Low,High,C,7.8,1.5,LLH_C,1
199,12,larvae,74.37961356,Low,Low,High,C,7.8,1.5,LLH_C,1
200,12,larvae,68.08884343,Low,Low,High,C,7.8,1.5,LLH_C,1
201,13,larvae,72.66902524,Low,High,High,A,7.4,0.6,LHH_A,1
202,13,larvae,71.19228603,Low,High,High,A,7.4,0.6,LHH_A,1
203,13,larvae,67.97527821,Low,High,High,A,7.4,0.6,LHH_A,1
204,13,larvae,71.04756421,Low,High,High,A,7.4,0.6,LHH_A,1
205,13,larvae,71.74498422,Low,High,High,A,7.4,0.6,LHH_A,1
206,13,larvae,70.81804649,Low,High,High,A,7.4,0.6,LHH_A,1
207,13,larvae,72.34178368,Low,High,High,A,7.4,0.6,LHH_A,1
208,13,larvae,74.8918027,Low,High,High,A,7.4,0.6,LHH_A,1
209,13,larvae,69.94933968,Low,High,High,A,7.4,0.6,LHH_A,1
210,13,larvae,69.35017471,Low,High,High,A,7.4,0.6,LHH_A,1
211,13,larvae,75.4708349,Low,High,High,A,7.4,0.6,LHH_A,1
212,13,larvae,71.79325164,Low,High,High,A,7.4,0.6,LHH_A,1
213,13,larvae,70.12495092,Low,High,High,A,7.4,0.6,LHH_A,1
214,13,larvae,68.6243527,Low,High,High,A,7.4,0.6,LHH_A,1
215,13,larvae,69.83982701,Low,High,High,A,7.4,0.6,LHH_A,1
216,13,larvae,67.24160398,Low,High,High,A,7.4,0.6,LHH_A,1
217,13,larvae,71.21651724,Low,High,High,A,7.4,0.6,LHH_A,1
218,13,larvae,73.6204486,Low,High,High,A,7.4,0.6,LHH_A,1
219,13,larvae,71.60952505,Low,High,High,A,7.4,0.6,LHH_A,1
