Date & time of file creation	5/7/2021 3:53 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp high salinity 1-2-3- and 4-5-6_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp high salinity 1-2-3- and 4-5-6.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
5/7/2021/3:53:44 PM	M1   	1014.0	27.1	25.5850	28.18	97.34	26.0025	28.18	103.83	24.7825	28.18	100.25	25.7425	28.18	101.79	25.0100	28.27	100.03	26.0825	28.27	102.17	25.6775	28.27	100.92	24.7600	28.27	99.06	NaN	NaN	NaN	NaN	28.1800	28.18	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:45 PM	M1   	1014.0	27.1	25.5775	28.18	97.41	26.0125	28.18	103.73	24.7600	28.18	100.47	25.7475	28.18	101.73	25.0100	28.27	100.03	26.0875	28.27	102.12	25.6925	28.27	100.78	24.7600	28.27	99.06	NaN	NaN	NaN	NaN	28.1825	28.18	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:46 PM	M1   	1014.0	27.1	25.5975	28.19	97.21	26.0150	28.19	103.69	24.7575	28.19	100.49	25.7475	28.19	101.72	25.0125	28.27	100.00	26.0825	28.27	102.17	25.6700	28.27	101.00	24.7600	28.27	99.06	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:47 PM	M1   	1014.0	27.1	25.5925	28.19	97.25	26.0050	28.19	103.79	24.7500	28.19	100.56	25.7625	28.19	101.57	25.0175	28.27	99.95	26.0850	28.27	102.14	25.6700	28.27	101.00	24.7625	28.27	99.03	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:48 PM	M1   	1014.0	27.1	25.6000	28.19	97.18	26.0175	28.19	103.66	24.7500	28.19	100.56	25.7475	28.19	101.72	25.0100	28.27	100.03	26.0700	28.27	102.29	25.6725	28.27	100.97	24.7725	28.27	98.93	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:49 PM	M1   	1014.0	27.1	25.5950	28.19	97.23	26.0150	28.19	103.69	24.7500	28.19	100.56	25.7650	28.19	101.55	25.0100	28.27	100.03	26.0750	28.27	102.24	25.6775	28.27	100.93	24.7750	28.27	98.91	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2675	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:50 PM	M1   	1014.0	27.1	25.5850	28.19	97.33	26.0200	28.19	103.64	24.7450	28.19	100.61	25.7475	28.19	101.72	25.0200	28.26	99.94	26.0875	28.26	102.13	25.6700	28.26	101.01	24.7650	28.26	99.02	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:51 PM	M1   	1014.0	27.1	25.5963	28.19	97.22	25.9900	28.19	103.94	24.7338	28.19	100.73	25.7362	28.19	101.83	25.0300	28.26	99.84	26.0775	28.26	102.23	25.6625	28.26	101.09	24.7775	28.26	98.90	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:52 PM	M1   	1014.0	27.1	25.5937	28.19	97.24	25.9937	28.19	103.90	24.7362	28.19	100.70	25.7338	28.19	101.86	24.9800	28.26	100.34	26.0675	28.26	102.33	25.6450	28.26	101.26	24.7700	28.26	98.97	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:53 PM	M1   	1014.0	27.1	25.6025	28.19	97.16	25.9975	28.19	103.86	24.7325	28.19	100.74	25.7400	28.19	101.79	25.0125	28.26	100.02	26.0625	28.26	102.38	25.6650	28.26	101.06	24.7725	28.26	98.95	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:54 PM	M1   	1014.0	27.1	25.6150	28.19	97.04	25.9900	28.19	103.94	24.7425	28.19	100.63	25.7325	28.19	101.87	25.0225	28.26	99.91	26.0725	28.26	102.28	25.6700	28.26	101.01	24.7775	28.26	98.89	NaN	NaN	NaN	NaN	28.1925	28.19	OFF	28.2625	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
