Date & time of file creation	5/7/2021 2:51 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp low salinity 7-8 and 19-20-21.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
5/7/2021/2:52:06 PM	M1   	1014.0	17.1	23.0875	27.86	99.97	25.7850	27.86	99.44	NaN	27.86	NaN	25.1975	27.86	100.34	24.9650	27.96	101.33	25.5400	27.96	101.92	25.0500	27.96	100.54	25.1300	27.96	100.90	NaN	NaN	NaN	NaN	27.8625	27.86	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:07 PM	M1   	1014.0	17.1	23.0825	27.87	100.01	25.7950	27.87	99.33	NaN	27.87	NaN	25.1875	27.87	100.43	24.9575	27.96	101.41	25.5400	27.96	101.92	25.1000	27.96	100.04	25.1300	27.96	100.90	NaN	NaN	NaN	NaN	27.8700	27.87	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:08 PM	M1   	1014.0	17.1	23.0875	27.87	99.96	25.7825	27.87	99.45	NaN	27.87	NaN	25.1825	27.87	100.48	24.9763	27.96	101.22	25.5412	27.96	101.91	25.0562	27.96	100.47	25.1275	27.96	100.92	NaN	NaN	NaN	NaN	27.8675	27.87	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:09 PM	M1   	1014.0	17.1	23.0900	27.86	99.95	25.7875	27.86	99.42	NaN	27.86	NaN	25.1975	27.86	100.35	24.9500	27.96	101.48	25.5500	27.96	101.82	24.9700	27.96	101.34	25.1150	27.96	101.05	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:10 PM	M1   	1014.0	17.1	23.1200	27.86	99.63	25.7750	27.86	99.54	NaN	27.86	NaN	25.2150	27.86	100.17	24.9450	27.96	101.53	25.5525	27.96	101.79	25.0425	27.96	100.61	25.1425	27.96	100.77	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9625	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:11 PM	M1   	1014.0	17.1	23.1125	27.86	99.71	25.7625	27.86	99.66	NaN	27.86	NaN	25.2025	27.86	100.30	24.9375	27.97	101.59	25.5525	27.97	101.78	25.0400	27.97	100.62	25.1200	27.97	100.98	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9700	27.97	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:12 PM	M1   	1014.0	17.1	23.0900	27.86	99.95	25.7750	27.86	99.54	NaN	27.86	NaN	25.2075	27.86	100.25	24.9575	27.97	101.39	25.5400	27.97	101.90	24.9900	27.97	101.12	25.1275	27.97	100.91	NaN	NaN	NaN	NaN	27.8575	27.86	OFF	27.9700	27.97	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:13 PM	M1   	1014.0	17.1	23.0950	27.85	99.90	25.7900	27.85	99.40	NaN	27.85	NaN	25.2000	27.85	100.33	24.9500	27.97	101.47	25.5600	27.97	101.70	24.9575	27.97	101.45	25.1450	27.97	100.73	NaN	NaN	NaN	NaN	27.8525	27.85	OFF	27.9700	27.97	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:14 PM	M1   	1014.0	17.1	23.1075	27.86	99.76	25.7975	27.86	99.32	NaN	27.86	NaN	25.2050	27.86	100.27	24.9450	27.97	101.52	25.5250	27.97	102.05	25.0175	27.97	100.85	25.1325	27.97	100.86	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9700	27.97	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:15 PM	M1   	1014.0	17.1	23.0975	27.86	99.87	25.8150	27.86	99.15	NaN	27.86	NaN	25.2175	27.86	100.15	24.9325	27.97	101.65	25.5100	27.97	102.21	24.9500	27.97	101.53	25.1375	27.97	100.81	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9675	27.97	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:16 PM	M1   	1014.0	17.1	23.0825	27.86	100.03	25.7900	27.86	99.40	NaN	27.86	NaN	25.2075	27.86	100.25	24.9400	27.96	101.58	25.5125	27.96	102.19	24.9325	27.96	101.72	25.1350	27.96	100.85	NaN	NaN	NaN	NaN	27.8575	27.86	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:17 PM	M1   	1014.0	17.1	23.0700	27.85	100.17	25.7600	27.85	99.70	NaN	27.85	NaN	25.2000	27.85	100.34	24.9425	27.96	101.56	25.5275	27.96	102.04	24.9275	27.96	101.77	25.1475	27.96	100.72	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9625	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:18 PM	M1   	1014.0	17.1	23.0925	27.85	99.93	25.7575	27.85	99.72	NaN	27.85	NaN	25.2075	27.85	100.26	24.9525	27.97	101.45	25.5500	27.97	101.81	25.0375	27.97	100.65	25.1375	27.97	100.81	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9675	27.97	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:19 PM	M1   	1014.0	17.1	23.0800	27.85	100.06	25.7575	27.85	99.72	NaN	27.85	NaN	25.2225	27.85	100.11	24.9575	27.96	101.41	25.5450	27.96	101.87	24.9300	27.96	101.75	25.1325	27.96	100.87	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:20 PM	M1   	1014.0	17.1	23.1050	27.85	99.80	25.7850	27.85	99.46	NaN	27.85	NaN	25.2025	27.85	100.31	24.9475	27.96	101.51	25.5275	27.96	102.04	24.9225	27.96	101.82	25.1425	27.96	100.77	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:21 PM	M1   	1014.0	17.1	23.0975	27.85	99.88	25.7925	27.85	99.38	NaN	27.85	NaN	25.2075	27.85	100.26	24.9450	27.96	101.53	25.5275	27.96	102.04	24.9850	27.96	101.19	25.1400	27.96	100.80	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:22 PM	M1   	1014.0	17.1	23.1100	27.85	99.75	25.7775	27.85	99.53	NaN	27.85	NaN	25.1975	27.85	100.36	24.9575	27.96	101.41	25.5450	27.96	101.87	24.9875	27.96	101.16	25.1175	27.96	101.02	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:23 PM	M1   	1014.0	17.1	23.0875	27.85	99.99	25.7950	27.85	99.36	NaN	27.85	NaN	25.1950	27.85	100.39	24.9475	27.96	101.51	25.5325	27.96	101.99	25.0350	27.96	100.69	25.1400	27.96	100.80	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:24 PM	M1   	1014.0	17.1	23.1050	27.85	99.80	25.7825	27.85	99.48	NaN	27.85	NaN	25.2025	27.85	100.31	24.9400	27.96	101.58	25.5400	27.96	101.92	24.9800	27.96	101.24	25.1350	27.96	100.85	NaN	NaN	NaN	NaN	27.8500	27.85	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:25 PM	M1   	1014.0	17.1	23.0925	27.85	99.93	25.7925	27.85	99.38	NaN	27.85	NaN	25.1875	27.85	100.46	24.9375	27.96	101.61	25.5425	27.96	101.89	24.8750	27.96	102.31	25.1225	27.96	100.97	NaN	NaN	NaN	NaN	27.8525	27.85	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:26 PM	M1   	1014.0	17.1	23.0925	27.86	99.92	25.7975	27.86	99.32	NaN	27.86	NaN	25.2075	27.86	100.25	24.9350	27.96	101.63	25.5450	27.96	101.87	24.9250	27.96	101.80	25.1250	27.96	100.95	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9600	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:27 PM	M1   	1014.0	17.1	23.0725	27.86	100.13	25.7850	27.86	99.44	NaN	27.86	NaN	25.2050	27.86	100.27	24.9550	27.96	101.44	25.5325	27.96	102.00	24.9525	27.96	101.52	25.1125	27.96	101.08	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9575	27.96	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/2:52:28 PM	M1   	1014.0	17.1	23.0850	27.86	100.00	25.7725	27.86	99.56	NaN	27.86	NaN	25.2150	27.86	100.17	24.9650	27.95	101.35	25.5400	27.95	101.93	24.9763	27.95	101.29	25.1200	27.95	101.01	NaN	NaN	NaN	NaN	27.8600	27.86	OFF	27.9500	27.95	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
